R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.403927767679734544e-05,1.497215616450529792e+18,2.042218015628493433e+01,1.098448925663840734e-33,nan
2.404617662027314838e-05,1.495498127356614144e+18,2.042218015628493433e+01,1.100973378651889048e-33,nan
2.405307754365124690e-05,1.493782608432362240e+18,2.042218015628493433e+01,1.103503633332433570e-33,nan
2.405998044749984763e-05,1.492069057417749248e+18,2.042218015628493433e+01,1.106039703038910099e-33,nan
2.406688533238731986e-05,1.490357472055341568e+18,2.042218015628493433e+01,1.108581601135400824e-33,nan
2.407379219888219210e-05,1.488647850090297088e+18,2.042218015628493433e+01,1.111129341016698299e-33,nan
2.408070104755315549e-05,1.486940189270360064e+18,2.042218015628493433e+01,1.113682936108379170e-33,nan
2.408761187896907736e-05,1.485234487345854976e+18,2.042218015628493433e+01,1.116242399866877900e-33,nan
2.409452469369896394e-05,1.483530742069693696e+18,2.042218015628493433e+01,1.118807745779548861e-33,nan
2.410143949231201461e-05,1.481828951197357312e+18,2.042218015628493433e+01,1.121378987364749302e-33,nan
2.410835627537756426e-05,1.480129112486909440e+18,2.042218015628493433e+01,1.123956138171899040e-33,nan
2.411527504346513073e-05,1.478431223698980352e+18,2.042218015628493433e+01,1.126539211781561034e-33,nan
2.412219579714438433e-05,1.476735282596771328e+18,2.042218015628493433e+01,1.129128221805506213e-33,nan
2.412911853698516479e-05,1.475041286946049280e+18,2.042218015628493433e+01,1.131723181886789940e-33,nan
2.413604326355747447e-05,1.473349234515142912e+18,2.042218015628493433e+01,1.134324105699821288e-33,nan
2.414296997743147494e-05,1.471659123074942976e+18,2.042218015628493433e+01,1.136931006950436424e-33,nan
2.414989867917749383e-05,1.469970950398896384e+18,2.042218015628493433e+01,1.139543899375968060e-33,nan
2.415682936936603155e-05,1.468284714263001600e+18,2.042218015628493433e+01,1.142162796745323965e-33,nan
2.416376204856773418e-05,1.466600412445813504e+18,2.042218015628493433e+01,1.144787712859051286e-33,nan
2.417069671735342401e-05,1.464918042728431360e+18,2.042218015628493433e+01,1.147418661549416599e-33,nan
