# Base profile of the inner-extremal family (triple root) (src/stability/triple_root_monotone.py, base0, sigma_min=1), units G=c=M=1, lambda=ell/M=0.27102, rho_c=1.625145, R-=0.67744, R+=1.98465; columns: R, m(R) (Misner-Sharp mass), rho(R) (= -T^t_t = -T^R_R), f = 1-2m/R, sigma = -d ln rho/d ln R; p_perp = -rho(1 - sigma/2)
R,m,rho,f,sigma
1.240425812624e-03,1.299243023772e-08,1.625145459365e+00,9.999790516610e-01,2.283598026012e-09
1.243501522911e-03,1.308931752174e-08,1.625145459356e+00,9.999789476454e-01,2.306331806338e-09
1.246584859607e-03,1.318692719228e-08,1.625145459347e+00,9.999788431135e-01,2.329291851753e-09
1.249675841621e-03,1.328526385691e-08,1.625145459337e+00,9.999787380640e-01,2.352480046363e-09
1.252774487910e-03,1.338433530028e-08,1.625145459328e+00,9.999786324906e-01,2.375899778118e-09
1.255880817479e-03,1.348414469645e-08,1.625145459318e+00,9.999785263944e-01,2.399552261562e-09
1.258994849379e-03,1.358469812813e-08,1.625145459308e+00,9.999784197717e-01,2.423440087461e-09
1.262116602708e-03,1.368600230844e-08,1.625145459299e+00,9.999783126182e-01,2.447566153671e-09
1.265246096611e-03,1.378806100248e-08,1.625145459289e+00,9.999782049341e-01,2.471931957550e-09
1.268383350283e-03,1.389088124134e-08,1.625145459279e+00,9.999780967146e-01,2.496540556614e-09
1.271528382964e-03,1.399446840742e-08,1.625145459269e+00,9.999779879575e-01,2.521394226752e-09
1.274681213941e-03,1.409882708872e-08,1.625145459258e+00,9.999778786618e-01,2.546494863228e-09
1.277841862553e-03,1.420396523555e-08,1.625145459248e+00,9.999777688216e-01,2.571845983183e-09
1.281010348183e-03,1.430988683601e-08,1.625145459238e+00,9.999776584368e-01,2.597449200200e-09
1.284186690263e-03,1.441659772111e-08,1.625145459227e+00,9.999775475048e-01,2.623307016945e-09
1.287370908274e-03,1.452410564379e-08,1.625145459217e+00,9.999774360201e-01,2.649422874933e-09
1.290563021745e-03,1.463241428662e-08,1.625145459206e+00,9.999773239833e-01,2.675798243519e-09
1.293763050252e-03,1.474153078851e-08,1.625145459195e+00,9.999772113900e-01,2.702436274585e-09
1.296971013423e-03,1.485146150447e-08,1.625145459184e+00,9.999770982368e-01,2.729339745654e-09
1.300186930931e-03,1.496221098322e-08,1.625145459173e+00,9.999769845233e-01,2.756510552191e-09
1.303410822499e-03,1.507378733189e-08,1.625145459162e+00,9.999768702437e-01,2.783952338814e-09
1.306642707901e-03,1.518619544038e-08,1.625145459151e+00,9.999767553971e-01,2.811667175665e-09
1.309882606956e-03,1.529944083439e-08,1.625145459139e+00,9.999766399817e-01,2.839657445191e-09
1.313130539535e-03,1.541353240881e-08,1.625145459128e+00,9.999765239907e-01,2.867927202499e-09
1.316386525558e-03,1.552847373948e-08,1.625145459116e+00,9.999764074253e-01,2.896477874149e-09
1.319650584994e-03,1.564427206000e-08,1.625145459104e+00,9.999762902813e-01,2.925312701180e-09
1.322922737862e-03,1.576093479684e-08,1.625145459093e+00,9.999761725544e-01,2.954435029975e-09
1.326203004229e-03,1.587846643752e-08,1.625145459081e+00,9.999760542445e-01,2.983846743360e-09
